Accession,Character,Source
EPI2873763,4,Aves
EPI2306957,A,Galliformes
EPI3222800,2,Anseriformes
EPI2259215,4,Aves
EPI3323576,2,Anseriformes
EPI3299100,4,Aves
EPI3304632,4,Aves
EPI2499738,M,mammal
EPI3599467,6,Artiodactyla
EPI3316343,4,Aves
EPI3314154,4,Aves
EPI3308304,4,Aves
EPI2537068,5,Charadriiformes
EPI2870178,4,Aves
EPI3312994,4,Aves
EPI2855859,4,Aves
EPI3558264,A,Galliformes
EPI2751084,A,Galliformes
EPI3312546,4,Aves
EPI2751124,A,Galliformes
EPI2800329,4,Aves
EPI3309640,4,Aves
EPI2147705,A,Galliformes
EPI2248063,2,Anseriformes
EPI2001628,2,Anseriformes
EPI2906406,4,Aves
EPI2886027,A,Galliformes
EPI2072136,2,Anseriformes
EPI2708183,0,Accipitriformes
EPI3260205,M,mammal
EPI690399,2,Anseriformes
EPI2473676,M,mammal
EPI3280363,2,Anseriformes
EPI1998033,4,Aves
EPI3631211,6,Artiodactyla
EPI2260534,4,Aves
EPI3637604,2,Anseriformes
EPI3309008,4,Aves
EPI3575290,6,Artiodactyla
EPI2428928,4,Aves
EPI3322875,A,Galliformes
EPI2134056,A,Galliformes
EPI3333795,4,Aves
EPI3599523,6,Artiodactyla
EPI153805,A,Galliformes
EPI3528026,4,Aves
EPI3093127,2,Anseriformes
EPI2709306,4,Aves
EPI2076253,2,Anseriformes
EPI2886198,A,Galliformes
EPI2738277,4,Aves
EPI2697734,5,Charadriiformes
EPI2950980,A,Galliformes
EPI3605209,4,Aves
EPI2200578,4,Aves
EPI3605211,4,Aves
EPI2760748,4,Aves
EPI2179748,4,Aves
EPI3302850,4,Aves
EPI3260172,2,Anseriformes
EPI2580518,A,Galliformes
EPI3304320,4,Aves
EPI2140123,A,Galliformes
EPI3304704,4,Aves
EPI3403682,6,Artiodactyla
EPI2971345,2,Anseriformes
EPI3446757,6,Artiodactyla
EPI2176021,A,Galliformes
EPI2697618,8,Carnivora
EPI3484851,4,Aves
EPI3364244,4,Aves
EPI3416725,4,Aves
EPI2510240,A,Galliformes
EPI2233002,4,Aves
EPI2841603,4,Aves
EPI2780394,4,Aves
EPI2191069,4,Aves
EPI3314306,4,Aves
EPI3604088,6,Artiodactyla
EPI2536917,A,Galliformes
EPI2856180,M,mammal
EPI3599507,6,Artiodactyla
EPI2780594,4,Aves
EPI2540216,4,Aves
EPI3434402,4,Aves
EPI3226891,2,Anseriformes
EPI2259343,4,Aves
EPI2885995,A,Galliformes
EPI2246942,A,Galliformes
EPI2820621,A,Galliformes
EPI3462101,4,Aves
EPI2559783,5,Charadriiformes
EPI3484819,4,Aves
EPI2751164,A,Galliformes
EPI2236292,M,mammal
EPI3041029,4,Aves
EPI2789198,4,Aves
EPI3311738,4,Aves
EPI2971834,E,Columbiformes
EPI108059,2,Anseriformes
EPI2760780,4,Aves
EPI2274966,M,mammal
EPI2008669,4,Aves
EPI2573893,4,Aves
EPI2747738,A,Galliformes
EPI3277477,4,Aves
EPI2744770,5,Charadriiformes
EPI2559863,5,Charadriiformes
EPI2158608,2,Anseriformes
EPI3303138,4,Aves
EPI3315808,4,Aves
EPI2263394,4,Aves
EPI2428046,4,Aves
EPI3279983,A,Galliformes
EPI2540488,4,Aves
EPI2579944,A,Galliformes
EPI2710604,2,Anseriformes
EPI3307978,4,Aves
EPI2071936,A,Galliformes
EPI2198056,4,Aves
EPI2455252,4,Aves
EPI2102394,4,Aves
EPI2751891,A,Galliformes
EPI3313034,4,Aves
EPI2029342,4,Aves
EPI3484883,4,Aves
EPI3605481,4,Aves
EPI2122952,M,mammal
EPI3313210,4,Aves
EPI2780458,4,Aves
EPI2789022,4,Aves
EPI3411176,4,Aves
EPI2971378,4,Aves
EPI2232938,A,Galliformes
EPI2885150,A,Galliformes
EPI2233146,4,Aves
EPI2770967,3,Animal
EPI3309648,4,Aves
EPI2603487,4,Aves
EPI2589485,4,Aves
EPI2513064,4,Aves
EPI3305208,4,Aves
EPI3315120,4,Aves
EPI3298228,4,Aves
EPI2053800,4,Aves
EPI2648223,5,Charadriiformes
EPI2300564,4,Aves
EPI2932992,2,Anseriformes
EPI2351400,4,Aves
EPI3575170,6,Artiodactyla
EPI3324035,5,Charadriiformes
EPI2122945,M,mammal
EPI2614014,4,Aves
EPI2028685,4,Aves
EPI2886265,D,Corvidae
EPI2886129,4,Aves
EPI1990432,5,Charadriiformes
EPI3556416,J,Primates
EPI3462069,4,Aves
EPI2742811,4,Aves
EPI3637644,2,Anseriformes
EPI3313154,4,Aves
EPI749417,F,Environment
EPI3229719,M,mammal
EPI3550226,C,Passeriformes
EPI3293022,4,Aves
EPI2868721,4,Aves
EPI2613814,4,Aves
EPI2710251,4,Aves
EPI2009935,2,Anseriformes
EPI3609432,4,Aves
EPI2092545,A,Galliformes
EPI2220138,A,Galliformes
EPI2704561,4,Aves
EPI2428094,4,Aves
EPI2429162,4,Aves
EPI2074892,4,Aves
EPI2960181,4,Aves
EPI3528402,4,Aves
EPI3649960,A,Galliformes
EPI3567167,4,Aves
EPI3304584,4,Aves
EPI439133,2,Anseriformes
EPI3307427,4,Aves
EPI2100191,0,Accipitriformes
EPI3311050,M,mammal
EPI2743243,4,Aves
EPI3317404,6,Artiodactyla
EPI3299116,4,Aves
EPI2884816,A,Galliformes
EPI2614062,4,Aves
EPI3328487,4,Aves
EPI1859921,2,Anseriformes
EPI2614534,4,Aves
EPI3350808,4,Aves
EPI2872482,A,Galliformes
EPI2198556,2,Anseriformes
EPI3308480,4,Aves
EPI2246392,4,Aves
EPI2573901,4,Aves
EPI3311394,4,Aves
EPI2648182,A,Galliformes
EPI2609318,4,Aves
EPI2699147,4,Aves
EPI3309216,4,Aves
EPI3625898,A,Galliformes
EPI2782560,4,Aves
EPI3527025,4,Aves
EPI3382769,5,Charadriiformes
EPI2085922,A,Galliformes
EPI2857405,4,Aves
EPI2742939,4,Aves
EPI3308050,4,Aves
EPI2855997,4,Aves
EPI3315328,4,Aves
EPI3361711,4,Aves
EPI3017931,2,Anseriformes
EPI3314458,4,Aves
EPI3543702,4,Aves
EPI3323512,5,Charadriiformes
EPI1998122,4,Aves
EPI3310724,4,Aves
EPI1995618,4,Aves
EPI3298628,4,Aves
EPI2392771,4,Aves
EPI2710187,4,Aves
EPI3298076,4,Aves
EPI2613678,4,Aves
EPI2751036,A,Galliformes
EPI3311532,4,Aves
EPI3292958,4,Aves
EPI3648597,A,Galliformes
EPI1308278,A,Galliformes
EPI3631375,4,Aves
EPI2185415,4,Aves
EPI2752278,2,Anseriformes
EPI3308328,4,Aves
EPI2139408,A,Galliformes
EPI3303546,4,Aves
EPI3528386,4,Aves
EPI2711086,2,Anseriformes
EPI672806,2,Anseriformes
EPI3489403,5,Charadriiformes
EPI2989819,4,Aves
EPI2429123,4,Aves
EPI2584472,2,Anseriformes
EPI2214492,4,Aves
EPI2278049,A,Galliformes
EPI2904421,4,Aves
EPI3610176,J,Primates
EPI3307221,4,Aves
EPI1947436,4,Aves
EPI2325705,2,Anseriformes
EPI3360145,M,mammal
EPI2764243,2,Anseriformes
EPI3411163,4,Aves
EPI3313362,4,Aves
EPI2310656,A,Galliformes
EPI3323791,2,Anseriformes
EPI2670206,4,Aves
EPI1944304,A,Galliformes
EPI3614670,4,Aves
EPI2856628,4,Aves
EPI2603671,8,Carnivora
EPI2616190,8,Carnivora
EPI1957822,2,Anseriformes
EPI2704529,4,Aves
EPI3351110,4,Aves
EPI2702835,2,Anseriformes
EPI3182909,2,Anseriformes
EPI3614446,A,Galliformes
EPI2612987,F,Environment
EPI3313714,M,mammal
EPI3358472,4,Aves
EPI3323892,5,Charadriiformes
EPI3302426,4,Aves
EPI2536850,2,Anseriformes
EPI2752294,A,Galliformes
EPI2906006,4,Aves
EPI2072064,2,Anseriformes
EPI2219905,A,Galliformes
EPI2779160,4,Aves
EPI2198804,2,Anseriformes
EPI3316055,4,Aves
EPI2744216,H,Falconiformes
EPI2751100,A,Galliformes
EPI3412288,6,Artiodactyla
EPI2198268,A,Galliformes
EPI2150675,5,Charadriiformes
EPI2141735,2,Anseriformes
EPI3084230,M,mammal
EPI2712467,4,Aves
EPI3637628,2,Anseriformes
EPI2414931,4,Aves
EPI2428823,4,Aves
EPI2475301,2,Anseriformes
EPI1985910,4,Aves
EPI3219444,A,Galliformes
EPI3303298,4,Aves
EPI2428116,4,Aves
EPI2705085,A,Galliformes
EPI2314337,4,Aves
EPI2873583,4,Aves
EPI2944605,4,Aves
EPI3316071,4,Aves
EPI3391756,4,Aves
EPI2167198,A,Galliformes
EPI2895279,4,Aves
EPI3311986,4,Aves
EPI2703043,2,Anseriformes
EPI2782077,4,Aves
EPI3110584,M,mammal
EPI2202329,0,Accipitriformes
EPI2703289,2,Anseriformes
EPI2576614,2,Anseriformes
EPI2855880,4,Aves
EPI3304168,4,Aves
EPI3305656,4,Aves
EPI2415815,A,Galliformes
EPI2752254,2,Anseriformes
EPI2363681,4,Aves
EPI895433,6,Artiodactyla
EPI2246880,2,Anseriformes
EPI2074972,4,Aves
EPI2505270,2,Anseriformes
EPI3310596,4,Aves
EPI3410676,6,Artiodactyla
EPI3528114,4,Aves
EPI2766646,4,Aves
EPI3412326,6,Artiodactyla
EPI2260582,4,Aves
EPI2176045,A,Galliformes
EPI1918765,A,Galliformes
EPI2559599,A,Galliformes
EPI3599287,6,Artiodactyla
EPI2752246,2,Anseriformes
EPI2506172,A,Galliformes
EPI2540314,M,mammal
EPI2263458,4,Aves
EPI2220346,2,Anseriformes
EPI2507050,4,Aves
EPI2246368,4,Aves
EPI3411986,6,Artiodactyla
EPI2653519,2,Anseriformes
EPI3323714,2,Anseriformes
EPI2067402,4,Aves
EPI2899694,4,Aves
EPI1950439,4,Aves
EPI2671360,4,Aves
EPI2707891,0,Accipitriformes
EPI2710868,2,Anseriformes
EPI3314002,4,Aves
EPI2428170,4,Aves
EPI3303880,4,Aves
EPI3305528,4,Aves
EPI2755530,M,mammal
EPI2222197,2,Anseriformes
EPI2505891,4,Aves
EPI2743570,4,Aves
EPI2016919,A,Galliformes
EPI2161509,A,Galliformes
EPI2743482,2,Anseriformes
EPI3158881,4,Aves
EPI2403522,A,Galliformes
EPI2263859,4,Aves
EPI3183544,2,Anseriformes
EPI3567159,4,Aves
EPI2701759,M,mammal
EPI2071024,0,Accipitriformes
EPI2711083,2,Anseriformes
EPI1767963,A,Galliformes
EPI3630576,6,Artiodactyla
EPI3360131,2,Anseriformes
EPI1988009,M,mammal
EPI3274659,1,Environmental
EPI3609384,4,Aves
EPI2077991,A,Galliformes
EPI2240742,4,Aves
EPI2223295,4,Aves
EPI3571206,6,Artiodactyla
EPI3194391,A,Galliformes
EPI2780530,4,Aves
EPI2906238,4,Aves
EPI3297860,A,Galliformes
EPI2179882,2,Anseriformes
EPI2751292,A,Galliformes
EPI2957719,2,Anseriformes
EPI3487554,6,Artiodactyla
EPI3244335,M,mammal
EPI328886,2,Anseriformes
EPI3328415,4,Aves
EPI2526377,2,Anseriformes
EPI2559655,5,Charadriiformes
EPI3487771,M,mammal
EPI3313970,4,Aves
EPI3651346,4,Aves
EPI3041036,4,Aves
EPI3567175,4,Aves
EPI2167388,A,Galliformes
EPI2909461,2,Anseriformes
EPI2247236,4,Aves
EPI3324360,2,Anseriformes
EPI2794084,5,Charadriiformes
EPI3574961,6,Artiodactyla
EPI3408635,6,Artiodactyla
EPI3303474,4,Aves
EPI3303896,4,Aves
EPI348147,K,Insect
EPI3648541,A,Galliformes
EPI3302818,4,Aves
EPI2067347,4,Aves
EPI2794523,H,Falconiformes
EPI1995569,4,Aves
EPI2886070,A,Galliformes
EPI2603479,4,Aves
EPI3625402,6,Artiodactyla
EPI3447080,4,Aves
EPI2013949,4,Aves
EPI2702244,2,Anseriformes
EPI2244295,2,Anseriformes
EPI2071520,A,Galliformes
EPI3543814,4,Aves
EPI2428602,4,Aves
EPI2179548,4,Aves
EPI2473634,M,mammal
EPI3162317,M,mammal
EPI2702978,4,Aves
EPI3631203,6,Artiodactyla
EPI2310436,8,Carnivora
EPI3299004,4,Aves
EPI3409975,6,Artiodactyla
EPI3091430,A,Galliformes
EPI2456409,?,Galliformes
EPI3299276,4,Aves
EPI2140474,A,Galliformes
EPI2909729,A,Galliformes
EPI2029826,A,Galliformes
EPI3605290,4,Aves
EPI2236184,4,Aves
EPI2534293,4,Aves
EPI3162325,M,mammal
EPI2260630,M,mammal
EPI2712399,2,Anseriformes
EPI2236509,M,mammal
EPI3358514,4,Aves
EPI2035001,4,Aves
EPI3310508,4,Aves
EPI2613702,4,Aves
EPI2505082,4,Aves
EPI672800,2,Anseriformes
EPI324802,N,Struthioniformes
EPI3226915,2,Anseriformes
EPI1998394,2,Anseriformes
EPI3302442,4,Aves
EPI2428264,4,Aves
EPI2428443,4,Aves
EPI3410843,8,Carnivora
EPI3302618,4,Aves
EPI3307842,4,Aves
EPI3054248,4,Aves
EPI2608705,4,Aves
EPI3104546,4,Aves
EPI3622130,2,Anseriformes
EPI3408783,6,Artiodactyla
EPI2606453,A,Galliformes
EPI2807459,4,Aves
EPI2712332,2,Anseriformes
EPI2429213,4,Aves
EPI3591636,J,Primates
EPI2931714,A,Galliformes
EPI2198620,A,Galliformes
EPI2540384,4,Aves
EPI3138095,A,Galliformes
EPI3637517,2,Anseriformes
EPI2071608,2,Anseriformes
EPI2075682,4,Aves
EPI2856438,4,Aves
EPI3462141,4,Aves
EPI2893387,4,Aves
EPI3324080,2,Anseriformes
EPI3555242,A,Galliformes
EPI2872957,A,Galliformes
EPI3305856,4,Aves
EPI2260646,4,Aves
EPI3313562,4,Aves
EPI3543758,4,Aves
EPI2904500,4,Aves
EPI2597220,A,Galliformes
EPI2073648,4,Aves
EPI2857089,4,Aves
EPI2870146,4,Aves
EPI2555734,4,Aves
EPI2140518,A,Galliformes
EPI1957945,A,Galliformes
EPI2259263,4,Aves
EPI3276803,4,Aves
EPI2743019,4,Aves
EPI2232962,2,Anseriformes
EPI2706109,A,Galliformes
EPI2589437,4,Aves
EPI3320917,4,Aves
EPI3467521,J,Primates
EPI2712829,4,Aves
EPI2528164,2,Anseriformes
EPI2872543,A,Galliformes
EPI3071324,2,Anseriformes
EPI2427895,4,Aves
EPI2473592,M,mammal
EPI2042405,J,Primates
EPI3277747,4,Aves
EPI3488387,5,Charadriiformes
EPI2263907,4,Aves
EPI2649349,2,Anseriformes
EPI2035153,4,Aves
EPI3303498,4,Aves
EPI1985970,4,Aves
EPI2098681,A,Galliformes
EPI2743219,4,Aves
EPI2429182,4,Aves
EPI3411819,6,Artiodactyla
EPI2506964,4,Aves
EPI2751180,A,Galliformes
EPI2704551,A,Galliformes
EPI1958806,2,Anseriformes
EPI3314402,4,Aves
EPI3395323,2,Anseriformes
EPI3630984,6,Artiodactyla
EPI3649194,6,Artiodactyla
EPI2218159,4,Aves
EPI1945123,4,Aves
EPI3310142,4,Aves
EPI2363028,2,Anseriformes
EPI3307063,4,Aves
EPI3311170,4,Aves
EPI2559663,5,Charadriiformes
EPI101891,A,Galliformes
EPI2856375,4,Aves
EPI3320901,4,Aves
EPI3310182,4,Aves
EPI3302762,4,Aves
EPI2141611,A,Galliformes
EPI108171,2,Anseriformes
EPI2067123,4,Aves
EPI2705213,2,Anseriformes
EPI3626034,4,Aves
EPI2072344,A,Galliformes
EPI2506354,A,Galliformes
EPI2526473,2,Anseriformes
EPI3324253,2,Anseriformes
EPI3328511,4,Aves
EPI2429031,4,Aves
EPI2505953,4,Aves
EPI184211,2,Anseriformes
EPI2536848,2,Anseriformes
EPI2613990,4,Aves
EPI3308018,4,Aves
EPI1922893,A,Galliformes
EPI2246296,4,Aves
EPI2895311,4,Aves
EPI1998082,4,Aves
EPI1943844,A,Galliformes
EPI2182152,4,Aves
EPI2872574,A,Galliformes
EPI3306049,4,Aves
EPI2648225,5,Charadriiformes
EPI1981659,A,Galliformes
EPI3409895,8,Carnivora
EPI2428199,4,Aves
EPI3299156,4,Aves
EPI3305360,4,Aves
EPI2243403,4,Aves
EPI3323777,4,Aves
EPI3567471,4,Aves
EPI3303961,4,Aves
EPI2870274,4,Aves
EPI2712662,4,Aves
EPI3462093,4,Aves
EPI2310122,0,Accipitriformes
EPI2363636,A,Galliformes
EPI3226835,2,Anseriformes
EPI3418767,6,Artiodactyla
EPI2310266,2,Anseriformes
EPI2711944,2,Anseriformes
EPI2428971,4,Aves
EPI3487755,6,Artiodactyla
EPI3306057,4,Aves
EPI3567487,4,Aves
EPI2904532,4,Aves
EPI2764208,4,Aves
EPI3582601,2,Anseriformes
EPI3358381,4,Aves
EPI3308568,4,Aves
EPI2614494,4,Aves
EPI2428121,4,Aves
EPI3305032,4,Aves
EPI2260830,4,Aves
EPI2506300,A,Galliformes
EPI2705947,A,Galliformes
EPI2885503,A,Galliformes
EPI2796095,4,Aves
EPI2526425,5,Charadriiformes
EPI2647329,2,Anseriformes
EPI3310220,4,Aves
EPI2246965,2,Anseriformes
EPI3630968,6,Artiodactyla
EPI3314570,4,Aves
EPI3323166,4,Aves
EPI3040960,0,Accipitriformes
EPI2574126,4,Aves
EPI2576430,2,Anseriformes
EPI3597206,6,Artiodactyla
EPI2751772,A,Galliformes
EPI2162147,A,Galliformes
EPI3316775,4,Aves
EPI2557423,5,Charadriiformes
EPI2885887,A,Galliformes
EPI2218234,A,Galliformes
EPI2780674,4,Aves
EPI3433758,A,Galliformes
EPI1963865,A,Galliformes
EPI2540616,4,Aves
EPI2755430,M,mammal
EPI3526785,4,Aves
EPI3447192,4,Aves
EPI3447056,4,Aves
EPI2311391,5,Charadriiformes
EPI2559727,5,Charadriiformes
EPI3590988,2,Anseriformes
EPI2536849,2,Anseriformes
EPI2856607,4,Aves
EPI2640935,4,Aves
EPI3299172,4,Aves
EPI2264091,4,Aves
EPI3324059,2,Anseriformes
EPI2129895,A,Galliformes
EPI3528122,4,Aves
EPI3622142,2,Anseriformes
EPI366417,2,Anseriformes
EPI2613830,4,Aves
EPI2259007,4,Aves
EPI3604057,6,Artiodactyla
EPI3627995,A,Galliformes
EPI2102625,4,Aves
EPI2614134,4,Aves
EPI2909518,4,Aves
EPI3648377,6,Artiodactyla
EPI3351102,4,Aves
EPI3395044,4,Aves
EPI3447933,5,Charadriiformes
EPI2334732,2,Anseriformes
EPI3315544,4,Aves
EPI3609527,4,Aves
EPI3316375,4,Aves
EPI1938828,4,Aves
EPI3041185,0,Accipitriformes
EPI3509767,4,Aves
EPI3434346,4,Aves
EPI3310898,4,Aves
EPI2820717,4,Aves
EPI2584526,A,Galliformes
EPI3418665,6,Artiodactyla
EPI2638360,4,Aves
EPI2885194,A,Galliformes
EPI1198896,A,Galliformes
EPI2259423,4,Aves
EPI2428339,4,Aves
EPI2626742,8,Carnivora
EPI3599322,6,Artiodactyla
EPI3308824,4,Aves
EPI2705110,A,Galliformes
EPI3637636,4,Aves
EPI2614270,4,Aves
EPI2597204,A,Galliformes
EPI1930011,A,Galliformes
EPI2325515,A,Galliformes
EPI2205093,2,Anseriformes
EPI1962025,A,Galliformes
EPI2702302,2,Anseriformes
EPI2181547,A,Galliformes
EPI3311314,4,Aves
EPI3630925,6,Artiodactyla
EPI3604416,6,Artiodactyla
EPI3609630,2,Anseriformes
EPI3416693,4,Aves
EPI2310154,D,Corvidae
EPI2259231,4,Aves
EPI2751204,A,Galliformes
EPI2712588,2,Anseriformes
EPI3308432,4,Aves
EPI2771015,3,Animal
EPI1963024,A,Galliformes
EPI3313218,4,Aves
EPI2855919,4,Aves
EPI2790779,4,Aves
EPI3462360,A,Galliformes
EPI2712757,2,Anseriformes
EPI2885432,A,Galliformes
EPI2578004,5,Charadriiformes
EPI3222708,2,Anseriformes
EPI3567191,4,Aves
EPI3304864,4,Aves
EPI2770895,3,Animal
EPI3314170,4,Aves
EPI2075642,2,Anseriformes
EPI3395258,2,Anseriformes
EPI1944256,4,Aves
EPI2817711,4,Aves
EPI3648565,6,Artiodactyla
EPI2505965,4,Aves
EPI2198492,2,Anseriformes
EPI3320877,4,Aves
EPI1945179,0,Accipitriformes
EPI2310194,5,Charadriiformes
EPI3609603,4,Aves
EPI2258703,4,Aves
EPI2872620,A,Galliformes
EPI3323245,A,Galliformes
EPI3649808,A,Galliformes
EPI2246144,4,Aves
EPI2789118,4,Aves
EPI3484763,4,Aves
EPI3412586,6,Artiodactyla
EPI3403666,4,Aves
EPI1963376,A,Galliformes
EPI3310970,4,Aves
EPI3323611,2,Anseriformes
EPI2526409,A,Galliformes
EPI2510297,4,Aves
EPI3310836,4,Aves
EPI2885322,A,Galliformes
EPI2944523,4,Aves
EPI3447088,4,Aves
EPI2220314,4,Aves
EPI2306829,A,Galliformes
EPI2352706,2,Anseriformes
EPI2263602,4,Aves
EPI2258999,4,Aves
EPI2141251,A,Galliformes
EPI2893504,2,Anseriformes
EPI3194351,A,Galliformes
EPI2894967,2,Anseriformes
EPI3408761,6,Artiodactyla
EPI2664231,4,Aves
EPI3489395,5,Charadriiformes
EPI1945195,2,Anseriformes
EPI3605241,4,Aves
EPI1958049,A,Galliformes
EPI2191133,A,Galliformes
EPI2082757,4,Aves
EPI2895455,4,Aves
EPI3597171,2,Anseriformes
EPI3605561,4,Aves
EPI2526401,A,Galliformes
EPI2950839,A,Galliformes
EPI2747762,A,Galliformes
EPI3309344,M,mammal
EPI2782464,A,Galliformes
EPI3078547,4,Aves
EPI2506140,A,Galliformes
EPI3605087,4,Aves
EPI3308952,4,Aves
EPI3382761,5,Charadriiformes
EPI2008829,4,Aves
EPI2638982,4,Aves
EPI2235592,M,mammal
EPI2150846,5,Charadriiformes
EPI2873327,4,Aves
EPI2885994,D,Corvidae
EPI2022937,H,Falconiformes
EPI2277809,4,Aves
EPI3604182,6,Artiodactyla
EPI3358506,4,Aves
EPI3307986,4,Aves
EPI3311674,4,Aves
EPI3324625,2,Anseriformes
EPI2154994,2,Anseriformes
EPI1999377,A,Galliformes
EPI2259383,4,Aves
EPI2609280,4,Aves
EPI2014945,2,Anseriformes
EPI3298284,4,Aves
EPI2613646,4,Aves
EPI2780626,4,Aves
EPI2042020,4,Aves
EPI3298188,4,Aves
EPI2614142,4,Aves
EPI1938820,2,Anseriformes
EPI3377104,4,Aves
EPI2606496,2,Anseriformes
EPI3630560,6,Artiodactyla
EPI2074876,4,Aves
EPI3316391,4,Aves
EPI3307283,4,Aves
EPI3323583,2,Anseriformes
EPI2456590,?,Galliformes
EPI2300436,4,Aves
EPI2413436,H,Falconiformes
EPI3567431,4,Aves
EPI2856419,4,Aves
EPI2751923,A,Galliformes
EPI3648999,6,Artiodactyla
EPI1985880,4,Aves
EPI2707031,A,Galliformes
EPI2530111,4,Aves
EPI3328375,4,Aves
EPI2638942,4,Aves
EPI2712132,4,Aves
EPI3091446,A,Galliformes
EPI2100239,4,Aves
EPI2867861,4,Aves
EPI3229727,M,mammal
EPI2792538,5,Charadriiformes
EPI2147714,2,Anseriformes
EPI2704789,2,Anseriformes
EPI1944389,A,Galliformes
EPI2070078,2,Anseriformes
EPI3409608,6,Artiodactyla
EPI2109895,A,Galliformes
EPI1922965,2,Anseriformes
EPI2141646,A,Galliformes
EPI2263474,4,Aves
EPI3307299,4,Aves
EPI3462562,6,Artiodactyla
EPI3409747,6,Artiodactyla
EPI1962134,4,Aves
EPI3313482,4,Aves
EPI2540600,4,Aves
EPI3304008,4,Aves
EPI3418258,A,Galliformes
EPI3316607,4,Aves
EPI2374844,2,Anseriformes
EPI3527113,4,Aves
EPI2755422,M,mammal
EPI3609416,2,Anseriformes
EPI2139967,A,Galliformes
EPI3322929,A,Galliformes
EPI2873637,4,Aves
EPI2614446,4,Aves
EPI99334,4,Aves
EPI2140181,A,Galliformes
EPI3308320,4,Aves
EPI3316455,M,mammal
EPI3143420,4,Aves
EPI3051493,4,Aves
EPI2751944,A,Galliformes
EPI2147717,A,Galliformes
EPI2053937,M,mammal
EPI2703306,4,Aves
EPI2709173,4,Aves
EPI2198244,A,Galliformes
EPI2764072,5,Charadriiformes
EPI2708668,4,Aves
EPI3630057,J,Primates
EPI2703010,4,Aves
EPI2702318,2,Anseriformes
EPI2495649,A,Galliformes
EPI3484811,4,Aves
EPI3637549,A,Galliformes
EPI3230318,2,Anseriformes
EPI2703039,2,Anseriformes
EPI2712984,4,Aves
EPI1947420,2,Anseriformes
EPI3032791,A,Galliformes
EPI2427887,4,Aves
EPI3315632,4,Aves
EPI3591184,5,Charadriiformes
EPI3418227,6,Artiodactyla
EPI2181707,0,Accipitriformes
EPI3316847,4,Aves
EPI2711984,2,Anseriformes
EPI2614639,4,Aves
EPI3303018,4,Aves
EPI2352698,4,Aves
EPI3443047,6,Artiodactyla
EPI3323934,2,Anseriformes
EPI2751268,A,Galliformes
EPI1949898,2,Anseriformes
EPI2291595,4,Aves
EPI3627987,2,Anseriformes
EPI2467483,2,Anseriformes
EPI1308277,A,Galliformes
EPI2909453,2,Anseriformes
EPI3303170,4,Aves
EPI3442385,6,Artiodactyla
EPI2652442,2,Anseriformes
EPI2697542,5,Charadriiformes
EPI3302530,4,Aves
EPI2429277,4,Aves
EPI3324440,2,Anseriformes
EPI2931834,A,Galliformes
EPI3462157,4,Aves
EPI2035209,4,Aves
EPI2758936,A,Galliformes
EPI2893639,2,Anseriformes
EPI2141129,4,Aves
EPI3649563,A,Galliformes
EPI3262157,2,Anseriformes
EPI2872455,2,Anseriformes
EPI3255726,4,Aves
EPI3411946,6,Artiodactyla
EPI3555249,A,Galliformes
EPI3261619,6,Artiodactyla
EPI2930881,0,Accipitriformes
EPI3303194,4,Aves
EPI2752152,A,Galliformes
EPI2906254,4,Aves
EPI3555425,5,Charadriiformes
EPI1998479,2,Anseriformes
EPI2895415,4,Aves
EPI2702156,2,Anseriformes
EPI2467481,2,Anseriformes
EPI3084206,4,Aves
EPI3085025,2,Anseriformes
EPI3306249,4,Aves
EPI2609143,A,Galliformes
EPI3322836,2,Anseriformes
EPI2102474,A,Galliformes
EPI3416717,4,Aves
EPI3555175,4,Aves
EPI2666728,4,Aves
EPI2959054,2,Anseriformes
EPI3411382,6,Artiodactyla
EPI3309440,4,Aves
EPI3412167,6,Artiodactyla
EPI3409911,8,Carnivora
EPI3303850,4,Aves
EPI2536766,2,Anseriformes
EPI3637620,2,Anseriformes
EPI2744238,4,Aves
EPI2308471,2,Anseriformes
EPI3433658,6,Artiodactyla
EPI2181803,4,Aves
EPI2931722,A,Galliformes
EPI2510272,5,Charadriiformes
EPI1198832,A,Galliformes
EPI995546,6,Artiodactyla
EPI3299252,4,Aves
EPI3312298,4,Aves
EPI2711691,4,Aves
EPI3323683,2,Anseriformes
EPI2666887,2,Anseriformes
EPI3412278,6,Artiodactyla
EPI3302586,4,Aves
EPI1980524,2,Anseriformes
EPI2428066,4,Aves
EPI3304880,4,Aves
EPI1944240,A,Galliformes
EPI3322844,A,Galliformes
EPI3333614,A,Galliformes
EPI3416331,A,Galliformes
EPI2506394,A,Galliformes
EPI2613622,4,Aves
EPI3575226,A,Galliformes
EPI2429070,4,Aves
EPI184216,2,Anseriformes
EPI2794128,M,mammal
EPI2868745,4,Aves
EPI2243843,A,Galliformes
EPI3307103,4,Aves
EPI2760334,2,Anseriformes
EPI2873655,4,Aves
EPI2885368,A,Galliformes
EPI2198252,A,Galliformes
EPI2709375,4,Aves
EPI3403562,4,Aves
EPI3306682,4,Aves
EPI2291510,8,Carnivora
EPI2613902,4,Aves
EPI1995164,2,Anseriformes
EPI2073664,4,Aves
EPI2759115,M,mammal
EPI2743099,4,Aves
EPI2708961,4,Aves
EPI2510289,0,Accipitriformes
EPI2649348,A,Galliformes
EPI2109867,4,Aves
EPI2259359,4,Aves
EPI2712805,4,Aves
EPI1962017,A,Galliformes
